,yearstart,locationabbr,locationdesc,topic,question,datavalueunit,datavaluetype,datavalue,datavaluefootnote,stratificationcategory1,stratification1,geolocation
30491,2019,AR,Arkansas,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,11.4,,Sex,Male,POINT (-92.27449074299966 34.74865012400045)
30493,2019,CA,California,Arthritis,Arthritis among adults,%,Crude Prevalence,24.0,,Sex,Female,POINT (-120.99999953799971 37.63864012300047)
30518,2019,CA,California,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,10.7,,Sex,Female,POINT (-120.99999953799971 37.63864012300047)
30562,2019,DE,Delaware,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,35.9,,Sex,Male,POINT (-75.57774116799965 39.008830667000495)
30621,2019,GU,Guam,Mental Health,Depression among adults,%,Crude Prevalence,11.7,,Sex,Male,POINT (144.793731 13.444304)
30743,2019,CO,Colorado,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,23.5,,Sex,Female,POINT (-106.13361092099967 38.843840757000464)
30763,2019,CA,California,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,29.3,,Sex,Male,POINT (-120.99999953799971 37.63864012300047)
30775,2019,DC,District of Columbia,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,65.0,,Sex,Male,POINT (-77.036871 38.907192)
30823,2019,GA,Georgia,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,43.3,,Sex,Female,POINT (-83.62758034599966 32.83968109300048)
30851,2019,CA,California,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,7.4,,Sex,Female,POINT (-120.99999953799971 37.63864012300047)
30859,2019,CO,Colorado,Asthma,Current asthma among adults,%,Crude Prevalence,13.0,,Sex,Female,POINT (-106.13361092099967 38.843840757000464)
30900,2019,DE,Delaware,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,15.7,,Sex,Female,POINT (-75.57774116799965 39.008830667000495)
30910,2019,GU,Guam,Lung Disease,Current electronic vapor product use among high school students,%,Crude Prevalence,38.6,,Sex,Male,POINT (144.793731 13.444304)
31093,2019,FL,Florida,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,30.3,,Sex,Male,POINT (-81.92896053899966 28.932040377000476)
31095,2019,CA,California,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,76.2,,Sex,Female,POINT (-120.99999953799971 37.63864012300047)
31118,2019,GU,Guam,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,13.6,,Sex,Male,POINT (144.793731 13.444304)
31160,2019,FL,Florida,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,12.6,,Sex,Female,POINT (-81.92896053899966 28.932040377000476)
31190,2019,CA,California,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,31.6,,Sex,Male,POINT (-120.99999953799971 37.63864012300047)
31222,2019,FL,Florida,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,31.0,,Sex,Female,POINT (-81.92896053899966 28.932040377000476)
31236,2019,DE,Delaware,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,8.5,,Sex,Male,POINT (-75.57774116799965 39.008830667000495)
31243,2019,GA,Georgia,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,31.0,,Sex,Female,POINT (-83.62758034599966 32.83968109300048)
31287,2019,DE,Delaware,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,82.8,,Sex,Female,POINT (-75.57774116799965 39.008830667000495)
31296,2019,CT,Connecticut,Lung Disease,Current electronic vapor product use among high school students,%,Crude Prevalence,30.0,,Sex,Female,POINT (-72.64984095199964 41.56266102000046)
31322,2019,DC,District of Columbia,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,13.7,,Sex,Female,POINT (-77.036871 38.907192)
31376,2019,GA,Georgia,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,46.2,,Sex,Female,POINT (-83.62758034599966 32.83968109300048)
31379,2019,GA,Georgia,Asthma,Current asthma among adults,%,Crude Prevalence,10.9,,Sex,Female,POINT (-83.62758034599966 32.83968109300048)
31381,2019,GA,Georgia,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,27.7,,Sex,Male,POINT (-83.62758034599966 32.83968109300048)
31398,2019,DE,Delaware,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,42.3,,Sex,Male,POINT (-75.57774116799965 39.008830667000495)
31442,2019,GU,Guam,Lung Disease,Current tobacco use of any tobacco product among high school students,%,Crude Prevalence,32.2,,Sex,Female,POINT (144.793731 13.444304)
31457,2019,DE,Delaware,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,22.1,,Sex,Male,POINT (-75.57774116799965 39.008830667000495)
31544,2019,DC,District of Columbia,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,14.5,,Sex,Male,POINT (-77.036871 38.907192)
31568,2019,GA,Georgia,Diabetes,Diabetes among adults,%,Crude Prevalence,12.8,,Sex,Female,POINT (-83.62758034599966 32.83968109300048)
31654,2019,CO,Colorado,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,13.3,,Sex,Female,POINT (-106.13361092099967 38.843840757000464)
31714,2019,GU,Guam,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,27.2,,Sex,Male,POINT (144.793731 13.444304)
31739,2019,CO,Colorado,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,22.0,,Sex,Male,POINT (-106.13361092099967 38.843840757000464)
31788,2019,GA,Georgia,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,5.6,,Sex,Male,POINT (-83.62758034599966 32.83968109300048)
31803,2019,DC,District of Columbia,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,5.3,,Sex,Male,POINT (-77.036871 38.907192)
31880,2019,CO,Colorado,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,3.9,,Sex,Male,POINT (-106.13361092099967 38.843840757000464)
31902,2019,AR,Arkansas,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,18.8,,Sex,Female,POINT (-92.27449074299966 34.74865012400045)
31961,2019,CT,Connecticut,Arthritis,Arthritis among adults,%,Crude Prevalence,27.5,,Sex,Female,POINT (-72.64984095199964 41.56266102000046)
32022,2019,CA,California,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,18.0,,Sex,Female,POINT (-120.99999953799971 37.63864012300047)
32026,2019,GA,Georgia,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,8.0,,Sex,Female,POINT (-83.62758034599966 32.83968109300048)
32085,2019,CT,Connecticut,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,67.1,,Sex,Male,POINT (-72.64984095199964 41.56266102000046)
32086,2019,DC,District of Columbia,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,16.1,,Sex,Male,POINT (-77.036871 38.907192)
32107,2019,DE,Delaware,Asthma,Current asthma among adults,%,Crude Prevalence,13.9,,Sex,Female,POINT (-75.57774116799965 39.008830667000495)
32145,2019,DC,District of Columbia,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,29.7,,Sex,Male,POINT (-77.036871 38.907192)
32164,2019,CA,California,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,7.6,,Sex,Male,POINT (-120.99999953799971 37.63864012300047)
32169,2019,DC,District of Columbia,Lung Disease,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,68.5,,Sex,Female,POINT (-77.036871 38.907192)
32204,2019,HI,Hawaii,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,23.7,,Sex,Male,POINT (-157.85774940299973 21.304850435000446)
32209,2019,FL,Florida,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,33.6,,Sex,Male,POINT (-81.92896053899966 28.932040377000476)
32220,2019,DE,Delaware,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,37.2,,Sex,Male,POINT (-75.57774116799965 39.008830667000495)
32224,2019,DE,Delaware,Arthritis,Arthritis among adults,%,Crude Prevalence,32.3,,Sex,Female,POINT (-75.57774116799965 39.008830667000495)
32278,2019,GA,Georgia,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,20.0,,Sex,Male,POINT (-83.62758034599966 32.83968109300048)
32295,2019,CT,Connecticut,Mental Health,Depression among adults,%,Crude Prevalence,17.8,,Sex,Female,POINT (-72.64984095199964 41.56266102000046)
32334,2019,GA,Georgia,Arthritis,Arthritis among adults,%,Crude Prevalence,26.9,,Sex,Female,POINT (-83.62758034599966 32.83968109300048)
32344,2019,GU,Guam,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,49.0,,Sex,Male,POINT (144.793731 13.444304)
32363,2019,GU,Guam,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,26.2,,Sex,Female,POINT (144.793731 13.444304)
32385,2019,FL,Florida,Asthma,Current asthma among adults,%,Crude Prevalence,10.7,,Sex,Female,POINT (-81.92896053899966 28.932040377000476)
32387,2019,CT,Connecticut,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,13.7,,Sex,Male,POINT (-72.64984095199964 41.56266102000046)
32399,2019,GU,Guam,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,32.6,,Sex,Male,POINT (144.793731 13.444304)
32402,2019,DC,District of Columbia,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,40.3,,Sex,Female,POINT (-77.036871 38.907192)
32419,2019,GA,Georgia,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,57.9,,Sex,Male,POINT (-83.62758034599966 32.83968109300048)
32422,2019,CT,Connecticut,Diabetes,Diabetes among adults,%,Crude Prevalence,10.4,,Sex,Male,POINT (-72.64984095199964 41.56266102000046)
32442,2019,HI,Hawaii,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,8.1,,Sex,Male,POINT (-157.85774940299973 21.304850435000446)
32456,2019,CO,Colorado,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,27.9,,Sex,Female,POINT (-106.13361092099967 38.843840757000464)
32462,2019,CT,Connecticut,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,33.5,,Sex,Female,POINT (-72.64984095199964 41.56266102000046)
32479,2019,CT,Connecticut,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,4.1,,Sex,Male,POINT (-72.64984095199964 41.56266102000046)
32517,2019,GU,Guam,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,60.9,,Sex,Male,POINT (144.793731 13.444304)
32613,2019,DE,Delaware,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,68.7,,Sex,Male,POINT (-75.57774116799965 39.008830667000495)
32637,2019,HI,Hawaii,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,41.1,,Sex,Female,POINT (-157.85774940299973 21.304850435000446)
32656,2019,DE,Delaware,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,75.9,,Sex,Female,POINT (-75.57774116799965 39.008830667000495)
32664,2019,FL,Florida,Lung Disease,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,55.3,,Sex,Male,POINT (-81.92896053899966 28.932040377000476)
32718,2019,CO,Colorado,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,34.9,,Sex,Female,POINT (-106.13361092099967 38.843840757000464)
32760,2019,HI,Hawaii,Arthritis,Arthritis among adults,%,Crude Prevalence,22.2,,Sex,Female,POINT (-157.85774940299973 21.304850435000446)
32763,2019,CO,Colorado,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,59.0,,Sex,Male,POINT (-106.13361092099967 38.843840757000464)
32767,2019,CO,Colorado,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,12.5,,Sex,Male,POINT (-106.13361092099967 38.843840757000464)
32815,2019,DE,Delaware,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,12.8,,Sex,Female,POINT (-75.57774116799965 39.008830667000495)
32894,2019,CA,California,Diabetes,Diabetes among adults,%,Crude Prevalence,10.5,,Sex,Male,POINT (-120.99999953799971 37.63864012300047)
32910,2019,CO,Colorado,Mental Health,Depression among adults,%,Crude Prevalence,13.6,,Sex,Male,POINT (-106.13361092099967 38.843840757000464)
32919,2019,FL,Florida,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,19.3,,Sex,Male,POINT (-81.92896053899966 28.932040377000476)
32973,2019,GA,Georgia,Lung Disease,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,66.2,,Sex,Female,POINT (-83.62758034599966 32.83968109300048)
32986,2019,DE,Delaware,Lung Disease,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,61.7,,Sex,Male,POINT (-75.57774116799965 39.008830667000495)
32987,2019,DC,District of Columbia,Disability,Adults with any disability,%,Crude Prevalence,20.2,,Sex,Male,POINT (-77.036871 38.907192)
33019,2019,DE,Delaware,Diabetes,Diabetes among adults,%,Crude Prevalence,13.9,,Sex,Male,POINT (-75.57774116799965 39.008830667000495)
33061,2019,GA,Georgia,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,11.8,,Sex,Female,POINT (-83.62758034599966 32.83968109300048)
33127,2019,CT,Connecticut,Disability,Adults with any disability,%,Crude Prevalence,23.9,,Sex,Female,POINT (-72.64984095199964 41.56266102000046)
33207,2019,GA,Georgia,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,6.4,,Sex,Female,POINT (-83.62758034599966 32.83968109300048)
33221,2019,CT,Connecticut,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,74.7,,Sex,Female,POINT (-72.64984095199964 41.56266102000046)
33224,2019,AR,Arkansas,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,2.9,,Sex,Female,POINT (-92.27449074299966 34.74865012400045)
33249,2019,FL,Florida,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,32.6,,Sex,Female,POINT (-81.92896053899966 28.932040377000476)
33277,2019,GU,Guam,Lung Disease,Current tobacco use of any tobacco product among high school students,%,Crude Prevalence,40.9,,Sex,Male,POINT (144.793731 13.444304)
33287,2019,CO,Colorado,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,31.6,,Sex,Male,POINT (-106.13361092099967 38.843840757000464)
33289,2019,DE,Delaware,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,33.7,,Sex,Female,POINT (-75.57774116799965 39.008830667000495)
33346,2019,DC,District of Columbia,Disability,Adults with any disability,%,Crude Prevalence,25.3,,Sex,Female,POINT (-77.036871 38.907192)
33406,2019,GU,Guam,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,8.4,,Sex,Female,POINT (144.793731 13.444304)
33423,2019,GU,Guam,Lung Disease,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,69.9,,Sex,Male,POINT (144.793731 13.444304)
33426,2019,CO,Colorado,Disability,Adults with any disability,%,Crude Prevalence,18.8,,Sex,Male,POINT (-106.13361092099967 38.843840757000464)
33449,2019,FL,Florida,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,21.8,,Sex,Male,POINT (-81.92896053899966 28.932040377000476)
33472,2019,DC,District of Columbia,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,29.8,,Sex,Male,POINT (-77.036871 38.907192)
33526,2019,CT,Connecticut,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,11.5,,Sex,Male,POINT (-72.64984095199964 41.56266102000046)
33537,2019,CA,California,Mental Health,Depression among adults,%,Crude Prevalence,10.6,,Sex,Male,POINT (-120.99999953799971 37.63864012300047)
33578,2019,GA,Georgia,Lung Disease,Current electronic vapor product use among high school students,%,Crude Prevalence,16.4,,Sex,Female,POINT (-83.62758034599966 32.83968109300048)
33594,2019,FL,Florida,Mental Health,Depression among adults,%,Crude Prevalence,13.1,,Sex,Male,POINT (-81.92896053899966 28.932040377000476)
33600,2019,CT,Connecticut,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,5.6,,Sex,Female,POINT (-72.64984095199964 41.56266102000046)
33605,2019,CO,Colorado,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,11.1,,Sex,Female,POINT (-106.13361092099967 38.843840757000464)
33646,2019,GA,Georgia,Diabetes,Diabetes among adults,%,Crude Prevalence,11.0,,Sex,Male,POINT (-83.62758034599966 32.83968109300048)
33662,2019,GA,Georgia,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,33.8,,Sex,Male,POINT (-83.62758034599966 32.83968109300048)
33688,2019,CT,Connecticut,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,81.9,,Sex,Female,POINT (-72.64984095199964 41.56266102000046)
33693,2019,HI,Hawaii,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,7.9,,Sex,Female,POINT (-157.85774940299973 21.304850435000446)
33704,2019,CA,California,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,22.9,,Sex,Male,POINT (-120.99999953799971 37.63864012300047)
33718,2019,DC,District of Columbia,Lung Disease,Current tobacco use of any tobacco product among high school students,%,Crude Prevalence,13.1,,Sex,Female,POINT (-77.036871 38.907192)
33785,2019,CT,Connecticut,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,29.5,,Sex,Female,POINT (-72.64984095199964 41.56266102000046)
33787,2019,CA,California,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,21.9,,Sex,Male,POINT (-120.99999953799971 37.63864012300047)
33871,2019,DC,District of Columbia,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,3.6,,Sex,Female,POINT (-77.036871 38.907192)
33901,2019,GA,Georgia,Lung Disease,Current tobacco use of any tobacco product among high school students,%,Crude Prevalence,17.4,,Sex,Female,POINT (-83.62758034599966 32.83968109300048)
33912,2019,CA,California,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,6.1,,Sex,Male,POINT (-120.99999953799971 37.63864012300047)
33967,2019,CT,Connecticut,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,10.9,,Sex,Female,POINT (-72.64984095199964 41.56266102000046)
33993,2019,DC,District of Columbia,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,9.8,,Sex,Female,POINT (-77.036871 38.907192)
33998,2019,CO,Colorado,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,75.3,,Sex,Female,POINT (-106.13361092099967 38.843840757000464)
34002,2019,FL,Florida,Lung Disease,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,62.9,,Sex,Female,POINT (-81.92896053899966 28.932040377000476)
34009,2019,CA,California,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,76.2,,Sex,Female,POINT (-120.99999953799971 37.63864012300047)
34014,2019,CT,Connecticut,Lung Disease,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,60.4,,Sex,Male,POINT (-72.64984095199964 41.56266102000046)
34018,2019,GA,Georgia,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,7.6,,Sex,Male,POINT (-83.62758034599966 32.83968109300048)
34087,2019,FL,Florida,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,74.1,,Sex,Female,POINT (-81.92896053899966 28.932040377000476)
34096,2019,GU,Guam,Disability,Adults with any disability,%,Crude Prevalence,29.4,,Sex,Female,POINT (144.793731 13.444304)
34101,2019,GU,Guam,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,26.3,,Sex,Female,POINT (144.793731 13.444304)
34193,2019,CO,Colorado,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,15.1,,Sex,Female,POINT (-106.13361092099967 38.843840757000464)
34224,2019,GU,Guam,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,24.0,,Sex,Male,POINT (144.793731 13.444304)
34226,2019,CA,California,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,33.2,,Sex,Female,POINT (-120.99999953799971 37.63864012300047)
34230,2019,DE,Delaware,Mental Health,Depression among adults,%,Crude Prevalence,13.1,,Sex,Male,POINT (-75.57774116799965 39.008830667000495)
34250,2019,AR,Arkansas,Lung Disease,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,55.8,,Sex,Male,POINT (-92.27449074299966 34.74865012400045)
34304,2019,GA,Georgia,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,40.1,,Sex,Female,POINT (-83.62758034599966 32.83968109300048)
34317,2019,DC,District of Columbia,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,26.7,,Sex,Female,POINT (-77.036871 38.907192)
34359,2019,GU,Guam,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,67.7,,Sex,Male,POINT (144.793731 13.444304)
34443,2019,FL,Florida,Arthritis,Arthritis among adults,%,Crude Prevalence,21.1,,Sex,Male,POINT (-81.92896053899966 28.932040377000476)
34455,2019,CT,Connecticut,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,27.2,,Sex,Male,POINT (-72.64984095199964 41.56266102000046)
34563,2019,GU,Guam,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,11.7,,Sex,Male,POINT (144.793731 13.444304)
34577,2019,CA,California,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,12.7,,Sex,Male,POINT (-120.99999953799971 37.63864012300047)
34646,2019,FL,Florida,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,12.5,,Sex,Female,POINT (-81.92896053899966 28.932040377000476)
34727,2019,GU,Guam,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,16.3,,Sex,Female,POINT (144.793731 13.444304)
34766,2019,DC,District of Columbia,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,73.9,,Sex,Female,POINT (-77.036871 38.907192)
34795,2019,DC,District of Columbia,Arthritis,Arthritis among adults,%,Crude Prevalence,13.3,,Sex,Male,POINT (-77.036871 38.907192)
34835,2019,CA,California,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,66.0,,Sex,Male,POINT (-120.99999953799971 37.63864012300047)
34846,2019,CO,Colorado,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,35.1,,Sex,Male,POINT (-106.13361092099967 38.843840757000464)
34857,2019,GA,Georgia,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,33.3,,Sex,Male,POINT (-83.62758034599966 32.83968109300048)
34880,2019,DE,Delaware,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,33.9,,Sex,Female,POINT (-75.57774116799965 39.008830667000495)
34905,2019,DE,Delaware,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,12.2,,Sex,Male,POINT (-75.57774116799965 39.008830667000495)
34908,2019,FL,Florida,Alcohol,Alcohol use among high school students,%,Crude Prevalence,28.7,,Sex,Female,POINT (-81.92896053899966 28.932040377000476)
34917,2019,DC,District of Columbia,Lung Disease,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,58.8,,Sex,Male,POINT (-77.036871 38.907192)
34933,2019,CO,Colorado,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,28.2,,Sex,Female,POINT (-106.13361092099967 38.843840757000464)
34955,2019,DE,Delaware,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,11.0,,Sex,Male,POINT (-75.57774116799965 39.008830667000495)
34966,2019,GU,Guam,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,2.9,,Sex,Female,POINT (144.793731 13.444304)
35175,2019,CT,Connecticut,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,1.0,,Sex,Female,POINT (-72.64984095199964 41.56266102000046)
35186,2019,CA,California,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,6.8,,Sex,Male,POINT (-120.99999953799971 37.63864012300047)
35199,2019,HI,Hawaii,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,21.5,,Sex,Male,POINT (-157.85774940299973 21.304850435000446)
35233,2019,FL,Florida,Alcohol,Alcohol use among high school students,%,Crude Prevalence,23.4,,Sex,Male,POINT (-81.92896053899966 28.932040377000476)
35259,2019,GU,Guam,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,6.4,,Sex,Female,POINT (144.793731 13.444304)
35269,2019,CA,California,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,46.6,,Sex,Female,POINT (-120.99999953799971 37.63864012300047)
35275,2019,GU,Guam,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,6.8,,Sex,Male,POINT (144.793731 13.444304)
35346,2019,CO,Colorado,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,22.9,,Sex,Female,POINT (-106.13361092099967 38.843840757000464)
35401,2019,DC,District of Columbia,Diabetes,Diabetes among adults,%,Crude Prevalence,8.4,,Sex,Male,POINT (-77.036871 38.907192)
35454,2019,DC,District of Columbia,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,79.0,,Sex,Female,POINT (-77.036871 38.907192)
35471,2019,FL,Florida,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,34.3,,Sex,Male,POINT (-81.92896053899966 28.932040377000476)
35549,2019,CO,Colorado,Asthma,Current asthma among adults,%,Crude Prevalence,8.5,,Sex,Male,POINT (-106.13361092099967 38.843840757000464)
35592,2019,GA,Georgia,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,13.9,,Sex,Female,POINT (-83.62758034599966 32.83968109300048)
35611,2019,HI,Hawaii,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,21.7,,Sex,Male,POINT (-157.85774940299973 21.304850435000446)
35630,2019,DC,District of Columbia,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,38.5,,Sex,Female,POINT (-77.036871 38.907192)
35675,2019,CT,Connecticut,Asthma,Current asthma among adults,%,Crude Prevalence,14.2,,Sex,Female,POINT (-72.64984095199964 41.56266102000046)
35695,2019,CA,California,Lung Disease,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,61.7,,Sex,Male,POINT (-120.99999953799971 37.63864012300047)
35716,2019,CA,California,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,7.2,,Sex,Female,POINT (-120.99999953799971 37.63864012300047)
35793,2019,GU,Guam,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,38.1,,Sex,Female,POINT (144.793731 13.444304)
